target,test_subject,loss_rate,n_removed_channels,actual_removed_fraction,n_model_seeds,masks_per_subject_per_model_seed,accuracy,balanced_accuracy,macro_f1
content_function,YDR,0.25,26,0.24761904761904763,5,20,0.4654464796794505,0.5738372918877592,0.457597239135649
content_function,YDR,0.5,52,0.49523809523809526,5,20,0.4026388093875215,0.5581828534912647,0.39861338976306354
content_function,YFR,0.0,0,0.0,5,1,0.5408679927667269,0.5448910735376676,0.5176051834335392
content_function,YFR,0.1,10,0.09523809523809523,5,20,0.5349344484629295,0.5448242097882037,0.5138224295978382
content_function,YFR,0.25,26,0.24761904761904763,5,20,0.521500904159132,0.5433032315241528,0.5028731676764264
content_function,YFR,0.5,52,0.49523809523809526,5,20,0.4854498191681736,0.5413995236923854,0.47456952872405955
content_function,YFS,0.0,0,0.0,5,1,0.4666276003515969,0.5609343152015662,0.45392568177731124
content_function,YFS,0.1,10,0.09523809523809523,5,20,0.46060064459419864,0.5598883323643845,0.44909348553416367
content_function,YFS,0.25,26,0.24761904761904763,5,20,0.43990917081746267,0.5561894146057869,0.4316648992577708
content_function,YFS,0.5,52,0.49523809523809526,5,20,0.4210958101377088,0.5522790200199752,0.41441419437742855
content_function,YHS,0.0,0,0.0,5,1,0.3727530747398297,0.5486506266745789,0.3716116959162217
content_function,YHS,0.1,10,0.09523809523809523,5,20,0.35601072216966256,0.5455329251407096,0.35422743511839927
content_function,YHS,0.25,26,0.24761904761904763,5,20,0.32794071270892455,0.5386020661379943,0.3234784543230905
content_function,YHS,0.5,52,0.49523809523809526,5,20,0.28717439293598235,0.5263744942547337,0.2739063552668125
content_function,YIS,0.0,0,0.0,5,1,0.6268348623853213,0.6701486378284973,0.5592581068060424
content_function,YIS,0.1,10,0.09523809523809523,5,20,0.612394495412844,0.6670999425956384,0.5498005379864477
content_function,YIS,0.25,26,0.24761904761904763,5,20,0.5813463302752294,0.6596829845109824,0.5288925315428378
content_function,YIS,0.5,52,0.49523809523809526,5,20,0.5012866972477064,0.6375670613069985,0.4718677478820119
content_function,YLS,0.0,0,0.0,5,1,0.6474892395982783,0.5833367761439202,0.5699791273518097
content_function,YLS,0.1,10,0.09523809523809523,5,20,0.6396915351506456,0.5796122941735276,0.5635398718183302
content_function,YLS,0.25,26,0.24761904761904763,5,20,0.6331635581061692,0.5760950240460734,0.5566359146490075
content_function,YLS,0.5,52,0.49523809523809526,5,20,0.6179029172644668,0.5697123995606396,0.5444479263167141
content_function,YMD,0.0,0,0.0,5,1,0.49835415427325,0.5955758096350194,0.4957411156165688
content_function,YMD,0.1,10,0.09523809523809523,5,20,0.49701566527860397,0.5946899655341574,0.4931101956118802
content_function,YMD,0.25,26,0.24761904761904763,5,20,0.487083085465001,0.5911461562817842,0.48272090002248175
content_function,YMD,0.5,52,0.49523809523809526,5,20,0.45321435653380926,0.5782018289547075,0.4458695845763928
content_function,YMS,0.0,0,0.0,5,1,0.662943722943723,0.6144937551315528,0.5965092085483372
content_function,YMS,0.1,10,0.09523809523809523,5,20,0.6495064935064935,0.6145063858767668,0.5901695980975523
content_function,YMS,0.25,26,0.24761904761904763,5,20,0.639,0.6131456905957451,0.5833371165262407
content_function,YMS,0.5,52,0.49523809523809526,5,20,0.5917619047619047,0.609766731237143,0.5551308208583582
content_function,YRH,0.0,0,0.0,5,1,0.5215567209494895,0.5597446838833535,0.4973133254243406
content_function,YRH,0.1,10,0.09523809523809523,5,20,0.5262572453767597,0.5594121336982901,0.4990824809243172
content_function,YRH,0.25,26,0.24761904761904763,5,20,0.519881313828319,0.557930109780481,0.49432219787198556
content_function,YRH,0.5,52,0.49523809523809526,5,20,0.5079878553684791,0.5547324210808704,0.4828353301129903
